Timestamp,Length in cm:,Arm span in cm:,Gender:
9/4/2019 14:37:48,180,183,Male
9/4/2019 14:37:53,193,186,Male
9/4/2019 14:37:58,164,159,Female
9/4/2019 14:38:01,186.2,192,Male
9/4/2019 14:38:16,175,175,Male
9/4/2019 14:38:17,173,172,Male
9/4/2019 14:38:20,187,186,Male
9/4/2019 14:38:23,168,167.5,Female
9/4/2019 14:38:24,191,191,Male
9/4/2019 14:38:25,171,172,Male
9/4/2019 14:38:26,177,173,Male
9/4/2019 14:38:37,170,166,Female
9/4/2019 14:38:38,185,180,Male
9/4/2019 14:38:44,167,164,Female
9/4/2019 14:38:52,191,193,Male
9/4/2019 14:38:59,176,181,Male
9/4/2019 14:39:07,194,196,Male
9/4/2019 14:39:13,194,190,Male
9/4/2019 14:39:17,193,190,Male
9/4/2019 14:39:32,200,187,Male
9/4/2019 14:39:27,172,173,Male
9/4/2019 14:39:37,197,193,Male
9/4/2019 14:39:41,190,188,Male
9/4/2019 14:39:42,186,183,Male
9/4/2019 14:39:43,174,169,Male
9/4/2019 14:39:44,183,180,Male
9/4/2019 14:39:46,184,184,Male
9/4/2019 14:39:52,189,181,Male
9/4/2019 14:40:04,195.5,194.5,Male
9/4/2019 14:40:09,190,180,Male
9/4/2019 14:40:12,187,179,Male
9/4/2019 14:40:35,183,180,Male
9/4/2019 14:40:40,187,180,Male
9/4/2019 14:40:42,184,184,Male
9/4/2019 14:40:43,167,171,Female
9/4/2019 14:40:43,200,202,Male
9/4/2019 14:40:44,189,194,Male
9/4/2019 14:40:48,165,165,Male
9/4/2019 14:40:50,186,189,Male
9/4/2019 14:41:07,183,185,Male
9/4/2019 14:41:08,179,178,Male
9/4/2019 14:41:13,173,188,Male
9/4/2019 14:41:20,172.5,172.5,Male
9/4/2019 14:41:24,179,181,Male
9/4/2019 14:41:31,172.5,172.5,Male
9/4/2019 14:41:34,182,191,Male
9/4/2019 14:41:34,187,181,Male
9/4/2019 14:41:36,170,163,Female
9/4/2019 14:41:37,199,185,Male
9/4/2019 14:41:42,173,169,Female
9/4/2019 14:41:43,176,182,Male
9/4/2019 14:41:59,175,176,Male
9/4/2019 14:42:02,183,179,Male
9/4/2019 14:42:02,183,180,Male
9/4/2019 14:42:09,172,177,Male
9/4/2019 14:42:16,171,176,Male
9/4/2019 14:42:37,200,199,Male
9/4/2019 14:42:48,198,198,Male
9/4/2019 14:43:07,179,174,Male
9/4/2019 14:44:53,180,186,Male
9/4/2019 14:46:47,175,172,Female
9/4/2019 14:47:17,186,181,Male
9/4/2019 14:47:29,186,184,Male
9/4/2019 14:49:00,165,166,Female
9/4/2019 14:49:24,165,160,Female
9/4/2019 14:50:36,174,175,Female
9/5/2019 12:37:54,184.5,184,Male
9/5/2019 12:38:18,180,187,Male
9/5/2019 12:38:25,176,176,Female
9/5/2019 12:38:30,186,190,Male
9/5/2019 12:38:39,178,182,Male
9/5/2019 12:38:54,181,175,Female
9/5/2019 12:39:02,185,180,Male
9/5/2019 12:39:06,188,183,Male
9/5/2019 12:39:08,194,191,Male
9/5/2019 12:39:15,173,167,Male
9/5/2019 12:39:18,188,183,Male
9/5/2019 12:39:18,187,185,Male
